Open,High,Low,Close,Volume
1493.099976,1493.099976,1469.400024,1469.400024,288501
1469.400024,1469.400024,1445.699951,1445.699951,46413
1374.599976,1422,1374.599976,1422,103375
1398.300049,1422,1374.599976,1398.300049,191983
1374.599976,1398.300049,1350.900024,1398.300049,629745
1398.300049,1422,1398.300049,1422,457805
1445.699951,1445.699951,1445.699951,1445.699951,362868
1445.699951,1445.699951,1422,1422,474155
1445.699951,1445.699951,1422,1422,128164
1422,1469.400024,1422,1469.400024,210443
1469.400024,1469.400024,1469.400024,1469.400024,225738
1493.099976,1564.199951,1493.099976,1540.5,1930903
1540.5,1659,1540.5,1659,6568024
1659,1682.699951,1611.599976,1659,4402944
1659,1659,1587.900024,1611.599976,1510018
1611.599976,1611.599976,1587.900024,1587.900024,807488
1573.680054,1573.680054,1554.719971,1554.719971,243143
1564.199951,1630.560059,1564.199951,1611.599976,1719933
1611.599976,1630.560059,1592.640015,1592.640015,351265
1592.640015,1602.119995,1583.160034,1592.640015,116561
1592.640015,1592.640015,1554.719971,1554.719971,161392
1526.280029,1554.719971,1516.800049,1526.280029,441982
1516.800049,1564.199951,1516.800049,1545.23999,247362
1545.23999,1592.640015,1545.23999,1545.23999,526370
1554.719971,1564.199951,1545.23999,1554.719971,204641
1554.719971,1554.719971,1535.76001,1535.76001,135021
1526.280029,1564.199951,1526.280029,1554.719971,357067
1554.719971,1554.719971,1516.800049,1526.280029,292721
1535.76001,1545.23999,1535.76001,1535.76001,113396
1535.76001,1564.199951,1535.76001,1535.76001,473100
1535.76001,1564.199951,1535.76001,1535.76001,638184
1535.76001,1554.719971,1535.76001,1535.76001,320674
1535.76001,1573.680054,1535.76001,1564.199951,1070673
1564.199951,1573.680054,1564.199951,1573.680054,473100
1554.719971,1564.199951,1545.23999,1545.23999,183544
1545.23999,1554.719971,1535.76001,1554.719971,155590
1573.680054,1583.160034,1545.23999,1554.719971,676686
1554.719971,1573.680054,1554.719971,1564.199951,351265
1564.199951,1573.680054,1545.23999,1573.680054,421413
1573.680054,1573.680054,1564.199951,1573.680054,113924
1564.199951,1592.640015,1564.199951,1573.680054,612340
1592.640015,1602.119995,1583.160034,1592.640015,266350
1602.119995,1630.560059,1602.119995,1630.560059,838606
1621.079956,1630.560059,1611.599976,1611.599976,428269
1621.079956,1621.079956,1621.079956,1621.079956,154008
1630.560059,1640.040039,1621.079956,1640.040039,769513
1630.560059,1640.040039,1630.560059,1640.040039,526370
1630.560059,1630.560059,1611.599976,1621.079956,434071
1621.079956,1621.079956,1573.680054,1602.119995,573838
